accession,domain,family,genome_type,host,isolate,order,size,subfamily,subgenome_type,topology,virus
NC_012091,Viruses,Cystoviridae,Riboviria,Pseudomonas syringae,,,6501,,Cystovirus,linear,Pseudomonas phage phi2954
NC_012419,Viruses,Siphoviridae,Caudovirales,Enterococcus faecalis,,,21115,,unclassified Efquatrovirus,linear,Enterococcus phage EFAP-1
NC_012093,Viruses,Cystoviridae,Riboviria,Pseudomonas syringae,,,2578,,Cystovirus,linear,Pseudomonas phage phi2954
NC_012092,Viruses,Cystoviridae,Riboviria,Pseudomonas syringae,,,3606,,Cystovirus,linear,Pseudomonas phage phi2954
NC_011613,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa PA14,,,36632,,Casadabanvirus,linear,Pseudomonas virus MP29
NC_011421,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis,,,132562,,Okubovirus,linear,Bacillus virus SPO1
NC_009875,Viruses,Podoviridae,Caudovirales,Staphylococcus aureus,,,17938,,unclassified Rosenblumvirus,linear,Staphylococcus phage SAP-2
NC_009543,Viruses,Siphoviridae,Caudovirales,Xanthomonas oryzae,,,44520,,Xipdecavirus,linear,Xanthomonas virus Xop411
NC_007461,Viruses,,Microviridae,Chlamydophila abortus,,,4530,,unclassified Chlamydiamicrovirus,circular,Chlamydia phage 4
NC_005284,Viruses,Siphoviridae,Caudovirales,Burkholderia pseudomallei 1026b,,,54865,,Stanholtvirus,linear,Burkholderia virus phi1026b
NC_005178,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa PAS429,,,37611,,Casadabanvirus,linear,Pseudomonas virus D3112
NC_042355,Viruses,Siphoviridae,Caudovirales,Corynebacterium glutamicum ATCC13032,,,43193,,Corynebacterium virus phi674,linear,Corynebacterium phage phi674
NC_042354,Viruses,Siphoviridae,Caudovirales,Corynebacterium glutamicum ATCC13032,,,44530,,Corynebacterium virus phi673,linear,Corynebacterium phage phi673
NC_042352,Viruses,Siphoviridae,Caudovirales,Salinibacter ruber M31,,,51889,,Kairosalinivirus,linear,Salinibacter virus M31CR41-2
NC_042351,Viruses,Siphoviridae,Caudovirales,Salinibacter ruber M8,,,53197,,,linear,Salinibacter virus M8CRM-1
NC_042350,Viruses,Siphoviridae,Caudovirales,Salinibacter ruber M8,,,35099,,Holosalinivirus,linear,Salinibacter virus M8CR30-2
NC_042349,Viruses,Siphoviridae,Caudovirales,Salinibacter ruber M8,,,53812,,,linear,Salinibacter virus M8CC-19
NC_042348,Viruses,Siphoviridae,Caudovirales,Salinibacter ruber M1,,,35883,,unclassified Holosalinivirus,linear,Salinibacter virus M1EM-1
NC_042345,Viruses,Siphoviridae,Caudovirales,Xylella fastidiosa,,,55601,,Xylella virus Salvo,circular,Xylella phage Salvo
NC_042344,Viruses,Siphoviridae,Caudovirales,Xylella fastidiosa,,,56147,,Xylella virus Sano,circular,Xylella phage Sano
NC_042343,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa,,,43895,,Bruynoghevirus,linear,Pseudomonas phage PaP4
NC_042342,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa HIM-6,,,65270,,Hollowayvirus,circular,Pseudomonas virus H66
NC_042341,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51235,,Fromanvirus,linear,Mycobacterium virus Rebeuca
NC_042340,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50645,,Fromanvirus,linear,Mycobacterium virus Goose
NC_042339,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51500,,Fromanvirus,linear,Mycobacterium virus Arturo
NC_042338,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,61567,,Timquatrovirus,linear,Mycobacterium virus Macncheese
NC_042337,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52494,,Fromanvirus,linear,Mycobacterium virus Astro
NC_042336,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,55363,,Cheoctovirus,linear,Mycobacterium virus Dotproduct
NC_042335,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49228,,Fromanvirus,linear,Mycobacterium virus Saintus
NC_042334,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,48963,,Fromanvirus,linear,Mycobacterium virus Jeffabunny
NC_042333,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50965,,Fromanvirus,linear,Mycobacterium virus Cuco
NC_042332,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,59749,,Timquatrovirus,linear,Mycobacterium virus Jaws
NC_042331,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51083,,Fromanvirus,linear,Mycobacterium virus Benedict
NC_042330,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51702,,Fromanvirus,linear,Mycobacterium virus Ericb
NC_042329,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50988,,Fromanvirus,linear,Mycobacterium virus Mrgordo
NC_042328,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50364,,Fromanvirus,linear,Mycobacterium virus Heldan
NC_042327,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53171,,Fromanvirus,linear,Mycobacterium virus BBPiebs31
NC_042326,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51381,,Fromanvirus,linear,Mycobacterium virus Kssjeb
NC_042325,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,61147,,Timquatrovirus,linear,Mycobacterium virus Pixie
NC_042324,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51426,,Fromanvirus,linear,Mycobacterium virus Museum
NC_042323,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57278,,Cheoctovirus,linear,Mycobacterium virus Mozy
NC_042322,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,109086,,Omegavirus,linear,Mycobacterium virus Littlee
NC_042321,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50486,,Fromanvirus,linear,Mycobacterium virus Lesedi
NC_042320,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52169,,Fromanvirus,linear,Mycobacterium virus JC27
NC_042319,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,55600,,Cheoctovirus,linear,Mycobacterium virus Ibhubesi
NC_042318,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51889,,Fromanvirus,linear,Mycobacterium virus Hammer
NC_042317,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,58899,,Cheoctovirus,linear,Mycobacterium virus Dlane
NC_042316,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,111688,,Omegavirus,linear,Mycobacterium virus Baka
NC_042315,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,56719,,Cheoctovirus,linear,Mycobacterium virus Rockyhorror
NC_042314,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51339,,Fromanvirus,linear,Mycobacterium virus Packman
NC_042313,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,74914,,Bronvirus,linear,Mycobacterium virus Joedirt
NC_042312,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51578,,Fromanvirus,linear,Mycobacterium virus George
NC_042311,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50864,,Fromanvirus,linear,Mycobacterium virus Microwolf
NC_042310,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50877,,Fromanvirus,linear,Mycobacterium virus JHC117
NC_042309,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52213,,Fromanvirus,linear,Mycobacterium virus Gladiator
NC_042308,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51308,,Fromanvirus,linear,Mycobacterium virus Backyardigan
NC_023745,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51813,,Fromanvirus,linear,Mycobacterium virus LHTSCC
NC_017702,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis,,,32023,,Skunavirus,linear,Lactococcus virus ASCC281
NC_017698,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis,,,31772,,Skunavirus,linear,Lactococcus virus ASCC465
NC_017696,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis,,,32384,,Skunavirus,linear,Lactococcus virus ASCC532
NC_017695,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis,,,32582,,Skunavirus,linear,Lactococcus virus ASCC273
NC_028876,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,109801,,unclassified Omegavirus,linear,Mycobacterium phage Ariel
NC_031269,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,51884,,Baxtervirus,linear,Gordonia phage Yeezy
NC_031266,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,44872,,Redivirus,linear,Mycobacterium phage Phrann
NC_031262,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,54751,,unclassified Cheoctovirus,linear,Mycobacterium phage Brocalys
NC_031261,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,48670,,unclassified Fishburnevirus,linear,Mycobacterium phage Shipwreck
NC_031243,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,42395,,Charlievirus,linear,Mycobacterium phage Xeno
NC_031233,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,50346,,Nymphadoravirus,linear,Gordonia phage Kita
NC_031251,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,47880,,unclassified Attisvirus,linear,Gordonia phage SoilAssassin
NC_031226,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,53717,,Baxtervirus,linear,Gordonia phage BaxterFox
NC_031281,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,43516,,Redivirus,linear,Mycobacterium phage Panchino
NC_031118,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,54167,,,linear,Gordonia phage CarolAnn
NC_031061,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,53431,,Gordonia virus Nymphadora,linear,Gordonia phage Nymphadora
NC_030943,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,54990,,,linear,Gordonia phage Blueberry
NC_028961,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,55094,,unclassified Cheoctovirus,linear,Mycobacterium phage PopTart
NC_028953,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,110764,,unclassified Omegavirus,linear,Mycobacterium phage MiaZeal
NC_028946,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,59652,,unclassified Cheoctovirus,linear,Mycobacterium phage Dante
NC_028937,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,58338,,unclassified Cheoctovirus,linear,Mycobacterium phage Ovechkin
NC_028923,Viruses,Siphoviridae,Caudovirales,Mycobacteruim smegmatis mc2 155,,,58472,,unclassified Cheoctovirus,linear,Mycobacterium phage Llama
NC_028910,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,55617,,unclassified Cheoctovirus,linear,Mycobacterium phage XFactor
NC_028889,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2155,,,59416,,unclassified Cheoctovirus,linear,Mycobacterium phage Florinda
NC_028844,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57293,,unclassified Cheoctovirus,linear,Mycobacterium phage Phatniss
NC_028842,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57328,,unclassified Cheoctovirus,linear,Mycobacterium phage CaptainTrips
NC_028823,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,58985,,unclassified Cheoctovirus,linear,Mycobacterium phage Bipolar
NC_028796,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49203,,Phayoncevirus,linear,Mycobacterium phage Phayonce
NC_028779,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,43680,,unclassified Charlievirus,linear,Mycobacterium phage Carcharodon
NC_028747,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,47618,,Fishburnevirus,linear,Mycobacterium phage Brusacoram
NC_028678,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,56669,,unclassified Cheoctovirus,linear,Mycobacterium phage Cabrinians
NC_028654,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,56275,,unclassified Cheoctovirus,linear,Mycobacterium phage Sparkdehlily
NC_026596,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57052,,unclassified Cheoctovirus,linear,Mycobacterium phage Inventum
NC_026595,Viruses,Siphoviridae,Caudovirales,Mycobacteruim smegmatis mc2 155,,,54986,,unclassified Cheoctovirus,linear,Mycobacterium phage Hades
NC_026585,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,60727,,unclassified Cheoctovirus,linear,Mycobacterium phage Estave1
NC_026584,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,109871,,unclassified Omegavirus,linear,Mycobacterium phage Minerva
NC_025433,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,58550,,Cheoctovirus,linear,Mycobacterium phage Taj
NC_023746,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57387,,Cheoctovirus,linear,Mycobacterium virus Gumbie
NC_023744,Viruses,Siphoviridae,Caudovirales,Mycobacterium tuberculosis mc2 7000,,,60588,,,linear,Mycobacterium phage DS6A
NC_023738,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,106327,,Omegavirus,linear,Mycobacterium phage Thibault
NC_023730,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,42594,,Redivirus,linear,Mycobacterium phage Redi
NC_023729,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,43036,,Charlievirus,linear,Mycobacterium phage Charlie
NC_023728,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,56461,,Cheoctovirus,linear,Mycobacterium virus Deadp
NC_023712,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,71341,,Corndogvirus,linear,Mycobacterium virus Firecracker
NC_023699,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,59016,,Cheoctovirus,linear,Mycobacterium virus SG4
NC_023692,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,48984,,Bignuzvirus,linear,Mycobacterium phage BigNuz
NC_023690,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,110569,,Omegavirus,linear,Mycobacterium virus Courthouse
NC_023552,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,47162,,Fishburnevirus,linear,Mycobacterium phage Donovan
NC_023580,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,57775,,unclassified Cheoctovirus,linear,Mycobacterium phage Saal
NC_022325,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamtis mc2 155,,,69815,,unclassified Corndogvirus,linear,Mycobacterium phage Dylan
NC_022068,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,58043,,unclassified Cheoctovirus,linear,Mycobacterium phage Daenerys
NC_022067,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,109960,,unclassified Omegavirus,linear,Mycobacterium phage Wanda
NC_022066,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,108297,,unclassified Omegavirus,linear,Mycobacterium phage Redno2
NC_022057,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,72108,,unclassified Corndogvirus,linear,Mycobacterium phage Catdawg
NC_022056,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamtis mc2 155,,,57155,,unclassified Cheoctovirus,linear,Mycobacterium phage Hamulus
NC_021302,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,47109,,Fishburnevirus,linear,Mycobacterium phage Fishburne
NC_021301,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,56279,,unclassified Cheoctovirus,linear,Mycobacterium phage SiSi
NC_021061,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,41491,,Buttersvirus,linear,Mycobacterium phage Butters
NC_014901,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2155,,,59230,,Cheoctovirus,linear,Mycobacterium phage Wee
NC_041928,Viruses,Herelleviridae,Caudovirales,Staphylococcus epidermidis 9142,,,139928,,Sepunavirus,linear,Staphylococcus phage phiIBB-SEP1
NC_041842,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,203,,Nitunavirus,linear,Bacillus phage SPG24
NC_041841,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,211,,Nitunavirus,linear,Bacillus phage SPG24
NC_041840,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,237,,Nitunavirus,linear,Bacillus phage SPG24
NC_041839,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,243,,Nitunavirus,linear,Bacillus phage SPG24
NC_041838,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,243,,Nitunavirus,linear,Bacillus phage SPG24
NC_041837,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,264,,Nitunavirus,linear,Bacillus phage SPG24
NC_041836,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,490,,Nitunavirus,linear,Bacillus phage SPG24
NC_041835,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,516,,Nitunavirus,linear,Bacillus phage SPG24
NC_030903,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis G24,,,152069,,Nitunavirus,linear,Bacillus phage SPG24
NC_030698,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,52924,,Soupsvirus,linear,Gordonia phage Soups
NC_028983,Viruses,Herelleviridae,Caudovirales,Bacillus cereus,,,138877,,Siminovitchvirus,circular,Bacillus phage Shanette
NC_028982,Viruses,Herelleviridae,Caudovirales,Bacillus cereus,,,137918,,Siminovitchvirus,circular,Bacillus phage JL
NC_028962,Viruses,Herelleviridae,Caudovirales,Staphylococcus sp.,,,140961,,Sepunavirus,linear,Staphylococcus phage phiIPLA-C1C
NC_028906,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,75933,,Kostyavirus,linear,Mycobacterium phage Toto
NC_028887,Viruses,Herelleviridae,Caudovirales,Bacillus thuringiensis subsp. kurstaki,,,167431,,Bequatrovirus,linear,Bacillus phage AvesoBmore
NC_025423,Viruses,Herelleviridae,Caudovirales,Bacillus cereus HER1399,,,138658,,Siminovitchvirus,linear,Bacillus phage CP-51
NC_022088,Viruses,Herelleviridae,Caudovirales,Bacilluls thuringiensis kurstaki,,,163019,,Bequatrovirus,linear,Bacillus phage Troll
NC_023695,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52481,,Fromanvirus,linear,Mycobacterium phage Violet
NC_023577,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51797,,Fromanvirus,linear,Mycobacterium phage Obama12
NC_023572,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,42240,,Buttersvirus,linear,Mycobacterium phage MichelleMyBell
NC_023573,Viruses,Herelleviridae,Caudovirales,Staphylococcus aureus,,,142094,,Kayvirus,linear,Staphylococcus phage phiSA12
NC_022771,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis,,,156648,,Nitunavirus,linear,Bacillus phage Grass
NC_022769,Viruses,Herelleviridae,Caudovirales,Bacillus thuringiensis subsp. Kurstaki,,,165238,,Bequatrovirus,linear,Bacillus phage BigBertha
NC_022763,Viruses,Herelleviridae,Caudovirales,Bacillus thuringiensis subsp. Kurstaki,,,164297,,Bequatrovirus,linear,Bacillus phage Spock
NC_021856,Viruses,Herelleviridae,Caudovirales,Bacillus subtilis (natto),,,155631,,Nitunavirus,linear,Bacillus phage phiNIT1
NC_018863,Viruses,Herelleviridae,Caudovirales,Bacillus cereus,,,162596,,Bequatrovirus,linear,Bacillus phage B4
NC_021306,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,75736,,unclassified Kostyavirus,linear,Mycobacterium phage Dumbo
NC_014459,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,59798,,Timquatrovirus,linear,Mycobacterium virus Crimd
NC_031267,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,42979,,,linear,Gordonia phage Lucky10
