Genus_species,Domain,Phylum,Class,Order,Family,Genus
Actinomyces_viscosus,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinoplanes_friuliensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
Actinoplanes_missouriensis,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
Actinoplanes_sp,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
Actinoplanes_teichomyceticus,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
Actinopolyspora_erythraea,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora
Actinosynnema_mirum,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Actinosynnema
Actinosynnema_pretiosum,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Actinosynnema
Actinotignum_schaalii,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinotignum
Adlercreutzia_equolifaciens,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Advenella_kashmirensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella
Advenella_mimigardefordensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella
Aequorivita_sp,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
Aequorivita_sublithincola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
Aeribacillus_pallidus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus
Aerococcaceae_bacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,NA
Aerococcus_christensenii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aerococcus_sanguinicola,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aerococcus_urinae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aerococcus_urinaeequi,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aerococcus_urinaehominis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aerococcus_viridans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Aeromicrobium_erythreum,Bacteria,Actinobacteria,Actinobacteria,Propionbacteriales,Nocardioidaceae,Aeromicrobium
Aeromicrobium_sp,Bacteria,Actinobacteria,Actinobacteria,Propionbacteriales,Nocardioidaceae,Aeromicrobium
Aeromonas_caviae,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_dhakensis,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_encheleia,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_media,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_rivipollensis,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_schubertii,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Aeromonas_veronii,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Agarilytica_rhodophyticola,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica
Agarivorans_gilvus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans
Aggregatibacter_actinomycetemcomitans,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
Aggregatibacter_aphrophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
Aggregatibacter_segnis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
Agrobacterium_fabrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agrobacterium_radiobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agrobacterium_rhizogenes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agrobacterium_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agrobacterium_tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agrobacterium_vitis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Agromyces_aureus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
Agromyces_sp,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
Akkermansia_glycaniphila,Bacteria,Verrumicrobia,Verrumicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Akkermansia_muciniphila,Bacteria,Verrumicrobia,Verrumicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Alcaligenaceae_bacterium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA
Alcaligenes_aquatilis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes
Alcaligenes_faecalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes
Alcanivorax_borkumensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Alcanivorax_dieselolei,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Alcanivorax_pacificus,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Alcanivorax_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Alcanivorax_xenomutans,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Algibacter_alginicilyticus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter
Algoriphagus_sp,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
Alicycliphilus_denitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus
Alicyclobacillus_acidocaldarius,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
Aliivibrio_salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
Aliivibrio_wodanis,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
Alistipes_finegoldii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Alistipes_sp,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Alkalilimnicola_ehrlichii,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola
Alkaliphilus_metalliredigens,Bacteria,Firmicutes,Clostridia,Clostridales,Clostridiaceae,Alkaliphilus
Alkaliphilus_oremlandii,Bacteria,Firmicutes,Clostridia,Clostridales,Clostridiaceae,Alkaliphilus
Alkalitalea_saponilacus,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea
Alloactinosynnema_sp,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Alloactinosynnema
Allochromatium_vinosum,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium
Allofrancisella_guangzhouensis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella
Alphaproteobacteria_bacterium,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
Altererythrobacter_atlanticus,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_dongtanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_epoxidivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_ishigakiensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_mangrovi,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_marensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_namhicola,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Altererythrobacter_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
Alteromonas_addita,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_australica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_macleodii,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_mediterranea,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_naphthalenivorans,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Alteromonas_stellipolaris,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Aminipila_sp,Bacteria,Firmicutes,Clostridia,Clostridales,NA,Aminipila
Aminobacter_aminovorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
Aminobacter_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
Aminobacterium_colombiense,Bacteria,Synergistetes,Synergistia,Syngergistales,Synergistaceae,Aminobacterium
Ammonifex_degensii,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex
Amphibacillus_xylanus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus
Amycolatopsis_albispora,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_japonica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_keratiniphila,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_mediterranei,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_methanolica,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_orientalis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Amycolatopsis_sp,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Amycolatopsis
Anabaena_cylindrica,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
Anabaena_sp,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
Anabaena_variabilis,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Nostocaceae,Trichormus
Anaerococcus_prevotii,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus
Anaerococcus_sp,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus
Anaerolinea_thermophila,Bacteria,Chloroflexi,Anaerolinea,Anaerolineales,Anaerolineaceae,Anaerolinea
Anaerolineaceae_bacterium,Bacteria,Chloroflexi,Anaerolinea,Anaerolineales,Anaerolineaceae,NA
Anaeromyxobacter_dehalogenans,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae
Anaeromyxobacter_sp,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae
Anaerostipes_hadrus,Bacteria,Firmicutes,Clostridia,Clostridales,Lachnospiraceae,Anaerostipes
Anaplasma_centrale,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Anaplasma_marginale,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Anaplasma_ovis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Anaplasma_phagocytophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Anderseniella_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Anderseniella
Aneurinibacillus_soli,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus
Aneurinibacillus_sp,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus
Anoxybacillus_amylolyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
Anoxybacillus_flavithermus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
Anoxybacillus_gonensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
Anoxybacillus_sp,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
Anoxybacter_fermentans,Bacteria,Firmicutes,Clostridia,Halanaerobiales,NA,Anoxybacter
Antarctobacter_heliothermus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter
Apibacter_sp,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Apibacter
Aquabacterium_olei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Aquabacterium
Aquaspirillum_sp,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum
Aquifex_aeolicus,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex
Aquimarina_sp,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
Aquitalea_magnusonii,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea
Arachidicoccus_sp,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus
